Coin Name,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Price_to_MarketCap_Ratio,Volatility_Index
Steem,0.25,0.4,-5.6,-10.7,14.9,7455073.0,449082200.0,120000000.0,110419068.0,2.264101703883246e-09,-2.5999999999999996
Stella,0.09,0.3,-7.6,-3.8,21.5,7138935.0,822000000.0,1000000000.0,71020572.0,1.2672384559223206e-09,-3.65
Stellar,0.12,0.1,-1.2,-2.7,3.8,74835772.0,27990259191.0,50000000000.0,3257475392.0,3.683834428794359e-11,-0.5499999999999999
Storj,0.74,0.6,-1.6,6.2,97.0,51690015.0,143787439.0,425000000.0,106215443.0,6.966971836665973e-09,-0.5
StormX,0.01,0.9,-3.3,-12.5,17.0,9521915.0,11000000000.0,12.5,83612889.0,1.195987857805033e-10,-1.2
Stratis,0.92,-0.5,-1.5,-8.8,49.7,12622398.0,155531483.0,120000000.0,142904773.0,6.437853548810438e-09,-1.0
Stride,1.19,0.6,-1.6,-14.6,148.2,202066.0,88158090.0,88.2,104702311.0,1.1365556200569441e-08,-0.5
Stride Staked Atom,10.77,0.6,-0.1,-6.7,32.2,14971808.0,3160112.0,3.16,34044207.0,3.163533813550129e-07,0.25
Strike,13.53,0.1,-4.0,-7.2,18.4,2872429.0,3992350.0,6.54,53984131.0,2.506292080537519e-07,-1.95
Sui,0.53,1.2,-1.2,-9.9,33.6,89479970.0,965577711.0,10000000000.0,515742654.0,1.0276443026176386e-09,0.0
Sun Token,0.01,0.1,-1.8,-4.8,-1.2,8530670.0,9692931222.0,19.9,55805515.0,1.7919375889641016e-10,-0.85
SuperRare,0.07,0.2,-5.9,1.9,20.8,9239110.0,354412760.0,1000000000.0,42659716.0,1.640892311613139e-09,-2.85
SuperVerse,0.17,-1.4,-9.2,36.6,118.4,5746712.0,451694843.0,1000000000.0,74543754.0,2.2805398289976113e-09,-5.3
